Request Number,Product Searched,Response Time (s),Mode
1,fish,0.013980388641357422,sequential
2,salt,0.02114248275756836,sequential
1,salt,0.12414669990539551,sequential
2,fish,0.005999326705932617,sequential
3,fish,0.008855819702148438,sequential
3,boar,0.00985860824584961,sequential
4,fish,0.009886026382446289,sequential
5,boar,0.00984954833984375,sequential
4,salt,0.009607315063476562,sequential
6,salt,0.007857561111450195,sequential
7,boar,0.009911298751831055,sequential
8,salt,0.01627945899963379,sequential
5,boar,0.01899242401123047,sequential
9,fish,0.012006282806396484,sequential
10,boar,0.012227773666381836,sequential
6,salt,0.01308298110961914,sequential
7,fish,0.008956670761108398,sequential
8,salt,0.008851289749145508,sequential
9,salt,0.012453079223632812,sequential
10,salt,0.009956598281860352,sequential
